platform,domain,owner_name,link,pixelId,facebook_url,like_num,share_num,comment_num
WOOCOMMERCE,www.shopnowhereland.com,Land store,http://bit.ly/3a4ZKZ4,510602216320090.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAzOTk5MTI0NTM3NDk1IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARec:Myi11XzP8m1KQR0EYgxm07uCP1g,12,1,0
SHOPIFY,amyscoffeemugs.com,Amy's Coffee Mugs,https://amyscoffeemugs.com/products/autumn-pumpkins-and-leaves-pattern-fall-tumbler-cup,2271576403061238.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vNTMzNjY5MTE3MTA5NDYzIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARec:32Oi_6BbzqADEfTJDEzUQZsDRhk,14,0,0
SHOPIFY,arborandhive.com,Arbor & Hive,https://arborandhive.com/collections/readytosell/products/stripin-sparkle-spruce-20-oz-glitter-tumbler,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjMxMDIyNDUxNTg5NjcwNiIsImFub255bW91cyI6dHJ1ZX0:1jARec:JZPea7IpXGHhJKnDP1SNcQAOero,6,0,0
SHOPIFY,yesecart.com,YesEcarts,https://tinyurl.com/yydx4xe5,1645806152375555.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjc1OTI4OTQzMTMyMTMxIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARec:XgrG3worfcrjYodAeSDHivZXFrM,0,0,0
SHOPIFY,ominouslittlecup.com,Ominous Little Cup,https://shortlink.store/v8gXWQKr1,1030335973964329.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTEzMDA5MDM2Nzk1MzQzIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARec:RD3NArhf4WG2_gKcCFU8NXqkkKk,0,0,0
ETSY,www.etsy.com,Custom Tumbler Source,https://etsy.me/2TlFEUI,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA3MDE2MTQ3NTQ2NjA0IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARec:59K7z410xU1lQMvc446K6gqzXXk,0,0,0
WOOCOMMERCE,www.thesaiwhistleshop.com,Whistle Shop,https://www.thesaiwhistleshop.com/product/block-script-tumbler/,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTQ0OTkxNzQ2ODYzOTY2NiIsImFub255bW91cyI6dHJ1ZX0:1jARec:o9o254lf1yQfgm-W534LZ2ZKEzs,76,2,3
GEARBUBBLE,www.gearbubble.com,Funny Shirts,https://www.gearbubble.com/38284/dog-dad-tumbler,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vNzA3MjcwNzA5MzQ4NzkwIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:ZS4Nh-x3swQjV9YDc64saeoS2W8,0,0,0
ETSY,www.etsy.com,Soulthern Creations,https://etsy.me/32AZcaJ,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA4NzM1NTkwNjcxMTA4IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:nNTZw8CyU6-X7h1q7Zcs6rsnaXQ,0,1,0
SHOPIFY,doxastics.com,Nice Tumbler,https://rebrand.ly/99ce55,1156099741264501.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAyNDgzOTcxMzE3NzEyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:6EKNy0aCZvB3NxZURgmLvi8XwQ0,37,11,0
SHOPIFY,cormosaic.shop,Cormosaic.shop,https://tinyurl.com/yxvknvdf,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTE2NTc1NDA5MzU0OTI1OCIsImFub255bW91cyI6dHJ1ZX0:1jARed:-YLpP0WOLHmaDdNhVZRSV4AW2mw,0,0,0
SHOPIFY,doxastics.com,Nice Tumbler,https://rebrand.ly/a03a22,1156099741264501.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAyNDgzOTcxMzE3NzEyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:6EKNy0aCZvB3NxZURgmLvi8XwQ0,22,4,1
SHOPIFY,cormosaic.shop,Cormosaic.shop,https://tinyurl.com/yyceeg88,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTE2NTc1NDA5MzU0OTI1OCIsImFub255bW91cyI6dHJ1ZX0:1jARed:-YLpP0WOLHmaDdNhVZRSV4AW2mw,1,0,0
SHOPIFY,doxastics.com,Nice Tumbler,https://rebrand.ly/138801,1156099741264501.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAyNDgzOTcxMzE3NzEyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:6EKNy0aCZvB3NxZURgmLvi8XwQ0,9,2,1
SHOPIFY,doxastics.com,Nice Tumbler,https://rebrand.ly/0d64cd,1156099741264501.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAyNDgzOTcxMzE3NzEyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:6EKNy0aCZvB3NxZURgmLvi8XwQ0,11,2,0
SHOPIFY,doxastics.com,Nice Tumbler,https://rebrand.ly/1df266,1156099741264501.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAyNDgzOTcxMzE3NzEyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:6EKNy0aCZvB3NxZURgmLvi8XwQ0,17,13,4
SHOPIFY,doxastics.com,Nice Tumbler,https://rebrand.ly/7af056,1156099741264501.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAyNDgzOTcxMzE3NzEyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:6EKNy0aCZvB3NxZURgmLvi8XwQ0,139,66,53
WOOCOMMERCE,tumblerprints.com,Tumbler Prints,http://tumblerprints.com/product/ta-jdx-du-tumbler,233011254391429.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA0MDcwNTUxMjEwNDAyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:kBdNBvrG9RfqHqYrZNBmmaZqmeU,6,2,2
SHOPIFY,janamarsoul.com,JanamarSoul.com,https://l.outfy.com/stcyS,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMzE1NDA2NjY5MTQwMTIxIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:l77002nTMe1uHqnC7RRG1a_q38U,1,0,0
SHOPIFY,cupomg.com,Cupomg.com,https://rebrand.ly/tumbler-hls79,703730619709394.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAyODc0NzExMjMxOTgyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:bG7Ejlymm3C-DSCx4NnS4hV6u1o,46,51,4
